47993,10.83,-8.06,0.41
48193,10.83,-8.07,0.41
48393,10.85,-8.07,0.41
48593,10.84,-8.07,0.42
48793,10.85,-8.07,0.42
48993,10.85,-8.06,0.42
49193,10.85,-8.06,0.42
49393,10.86,-8.06,0.42
49593,10.85,-8.07,0.42
49793,10.84,-8.06,0.42
49993,10.84,-8.06,0.42
50193,10.84,-8.05,0.43
50393,10.84,-8.05,0.43
50593,10.84,-8.05,0.43
50794,10.84,-8.06,0.44
50994,10.84,-8.06,0.45
51194,10.85,-8.06,0.44
51394,10.84,-8.06,0.45
51594,10.84,-8.06,0.45
51794,10.84,-8.06,0.45
51994,10.85,-8.06,0.45
52194,10.86,-8.07,0.45
52394,10.83,-8.06,0.46
52594,10.98,-8.08,0.44
52794,10.92,-8.06,0.45
52994,10.92,-8.06,0.45
53194,10.91,-8.07,0.45
53394,10.91,-8.06,0.45
53594,10.93,-8.06,0.45
53795,10.98,-8.06,0.45
53995,10.89,-8.03,0.46
54195,10.87,-8.03,0.46
54395,10.89,-8.03,0.47
54595,10.96,-8.05,0.45
54796,10.85,-8.03,0.46
54996,10.83,-8.03,0.47
55196,10.80,-8.03,0.47
55399,10.81,-8.03,0.47
55599,10.82,-8.03,0.47
55799,10.94,-8.05,0.45
55999,10.85,-8.03,0.46
56199,10.79,-8.01,0.47
56399,10.77,-8.01,0.47
56599,10.76,-8.01,0.47
56799,10.77,-8.02,0.47
56999,10.78,-8.03,0.47
57199,10.75,-8.01,0.46
57399,10.86,-8.04,0.46
57599,10.86,-8.04,0.46
57799,10.86,-8.04,0.46
57999,10.87,-8.04,0.46
58199,10.85,-8.04,0.47
58399,10.85,-8.04,0.47
58599,10.85,-8.03,0.47
58799,10.86,-8.04,0.47
59003,10.87,-8.04,0.47
59203,10.86,-8.04,0.47
59403,10.86,-8.03,0.47
59603,10.87,-8.03,0.48
59804,10.87,-8.03,0.49
60004,10.78,-8.00,0.50
60204,10.72,-7.99,0.51
60404,10.71,-7.99,0.51
60604,10.76,-7.99,0.51
60804,10.74,-7.98,0.52
61004,10.69,-7.97,0.53
61204,10.69,-7.97,0.53
61405,10.69,-7.98,0.53
61606,10.79,-8.00,0.52
61806,10.69,-7.97,0.53
62006,10.69,-7.98,0.53
62206,10.69,-7.98,0.53
62406,10.70,-7.99,0.53
62606,10.70,-7.99,0.53
62806,10.71,-7.99,0.53
63006,10.70,-7.99,0.53
63206,10.70,-8.00,0.53
63406,10.70,-8.01,0.53
63606,10.71,-8.01,0.53
63806,10.72,-8.01,0.53
64006,10.71,-8.01,0.53
64206,10.71,-8.01,0.53
64406,10.70,-8.01,0.53
64606,10.70,-8.01,0.53
64806,10.70,-8.01,0.53
65006,10.82,-8.03,0.52
65206,10.66,-8.00,0.54
65406,10.67,-7.99,0.54
65606,10.67,-8.00,0.54
65807,10.67,-8.00,0.54
66007,10.66,-8.00,0.54
66207,10.63,-7.99,0.54
66407,10.64,-7.98,0.54
66607,10.63,-7.98,0.54
66808,10.64,-7.98,0.54
67008,10.64,-7.99,0.54
67208,10.64,-8.00,0.55
67408,10.64,-8.01,0.55
67609,10.65,-8.00,0.55
67809,10.65,-8.01,0.55
68009,10.65,-8.01,0.55
68209,10.65,-8.02,0.55
68409,10.65,-8.02,0.55
68609,10.65,-8.02,0.55
68809,10.68,-8.03,0.54
69010,10.78,-8.03,0.54
69210,10.75,-8.01,0.54
69410,10.74,-8.02,0.54
69610,10.75,-8.03,0.55
69810,10.75,-8.03,0.55
70010,10.75,-8.04,0.55
70210,10.82,-8.06,0.54
70410,10.76,-8.03,0.55
70610,10.65,-8.00,0.56
70810,10.62,-8.00,0.57
71010,10.61,-7.99,0.57
71210,10.61,-7.99,0.57
71410,10.61,-7.99,0.57
71610,10.64,-8.00,0.57
71810,10.60,-7.99,0.57
72011,10.60,-8.00,0.57
